ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,Starting,,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,Number,,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,Score (factored),,,
,4,Han YAN,,,CHN,,6,,85.97,45.47,,,41.5,1,
,Executed,Base,,,,,,,,,,,Scores of,,
,#,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,Value,,,,,,,,,,,Panel,,
,1,3A,8.5,2.14,2,2,2,2,3,2,1,3,2,10.64,
,2,4T,10.3,-4.00,-3,-3,-3,-3,-3,-3,-3,-3,-3,6.3,
,3,FCSp3,2.8,0.5,1,1,1,1,1,1,0,1,1,3.3,
,4,3Lz+3T,11.33,x,0.7,1,1,1,1,1,1,0,1,1,12.03
,5,CSSp4,3,0.79,1,2,1,1,2,2,1,2,2,3.79,
,6,StSq4,3.9,1.3,1,2,2,3,2,3,1,2,1,5.2,
,7,CCoSp4,3.5,0.71,1,1,1,2,2,2,1,1,2,4.21,
,,43.33,,,,,,,,,,,,45.47,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,8.25,8.5,8.75,8.25,8.5,9.25,7.75,8.75,8.5,8.5,
,Transitions,,,1,7.5,8,8.5,8,8.25,9,7.5,8.25,8,8.07,
,Performance,,,1,7.75,8.5,8.25,8,8.25,9,7.5,8.5,8.5,8.25,
,Composition,,,1,8,8.25,8.75,8.25,8.5,9.25,7.5,8.5,8.25,8.36,
,Interpretation of the Music,,,1,8,8.5,8.5,8.25,8.25,9.5,7.5,8.25,8.5,8.32,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,41.5,
,Deductions,Falls:,-1.00(1),,,,,,,,,,,-1.00,
x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,,
ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,
,,,,,,Starting,,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,Number,,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,Score (factored),,,
,5,Daniel SAMOHIN,,,ISR,,8,,82.28,43.85,,,39.43,1,
,Executed,,Base,,,,,,,,,,Scores of,,
,#,,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Info,Value,,,,,,,,,Panel,,
,1,4S,10.5,-4.00,-3,-3,-3,-3,-3,-3,-3,-3,-3,6.5,
,2,3A,8.5,1.57,2,1,1,2,2,1,1,2,2,10.07,
,3,CCoSp4,3.5,0.86,2,1,1,1,2,2,2,2,2,4.36,
,4,3Lz+3T,11.33,x,0.7,1,0,1,1,0,2,1,1,2,12.03
,5,FCSp3,2.8,0.5,1,1,1,1,1,2,1,1,1,3.3,
,6,StSq3,3.3,0.79,2,1,1,2,1,3,1,2,2,4.09,
,7,CSSp4,3,0.5,1,1,1,1,0,2,1,1,1,3.5,
,,,42.93,,,,,,,,,,,43.85,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,8.25,7.5,8,7.75,7.75,8.25,8.25,7.75,7.5,7.89,
,Transitions,,,1,8.5,7.25,7.5,8,7.25,7.75,8,7.5,7.25,7.61,
,Performance,,,1,8.5,7.75,7.75,8.25,7.5,8,8,8,7.5,7.89,
,Composition,,,1,8.75,7.5,8,8,7.5,8.25,8.25,8,7.5,7.93,
